CustomerID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment,RFM_Score,RFM_Level
113,607,23,454.36000000000007,1,5,3,153,can't loose,9,Gold
114,458,18,326.6499999999999,1,5,3,153,can't loose,9,Gold
115,126,35,826.88,3,5,4,354,loyal customers,12,Platinum
116,20,70,1094.31,5,5,4,554,champions,14,Platinum Plus
117,7,87,1291.1499999999999,5,5,4,554,champions,14,Platinum Plus
118,12,25,1135.55,5,5,4,554,champions,14,Platinum Plus
119,19,51,733.8900000000002,5,5,4,554,champions,14,Platinum Plus
121,366,18,0.0,2,5,1,251,can't loose,8,Gold
122,145,160,3601.6000000000004,3,5,5,355,loyal customers,13,Platinum
123,538,75,2897.74,1,5,5,155,can't loose,11,Platinum
124,691,23,211.95,1,5,2,152,can't loose,8,Gold
125,1,1112,33388.580000000016,5,5,5,555,champions,15,Platinum Plus
126,53,951,15117.360000000008,4,5,5,455,loyal customers,14,Platinum Plus
127,55,171,2773.0900000000015,4,5,5,455,loyal customers,14,Platinum Plus
128,4,750,11635.490000000005,5,5,5,555,champions,15,Platinum Plus
129,55,61,1149.64,4,5,4,454,loyal customers,13,Platinum
130,17,553,13403.839999999973,5,5,5,555,champions,15,Platinum Plus
131,24,564,19978.639999999974,4,5,5,455,loyal customers,14,Platinum Plus
132,182,35,668.5100000000001,3,5,4,354,loyal customers,12,Platinum
133,13,34,459.96000000000004,5,5,3,553,champions,13,Platinum
134,30,244,5417.760000000004,4,5,5,455,loyal customers,14,Platinum Plus
135,24,395,12217.029999999979,4,5,5,455,loyal customers,14,Platinum Plus
136,371,202,21941.71999999997,2,5,5,255,can't loose,12,Platinum
137,19,139,4221.43,5,5,5,555,champions,15,Platinum Plus
138,102,475,6156.859999999997,3,5,5,355,loyal customers,13,Platinum
139,531,34,708.0999999999998,1,5,4,154,can't loose,10,Gold
140,610,49,1037.28,1,5,4,154,can't loose,10,Gold
141,11,53,1212.74,5,5,4,554,champions,14,Platinum Plus
142,163,14,304.33,3,5,3,353,loyal customers,11,Platinum
143,19,434,8730.799999999988,5,5,5,555,champions,15,Platinum Plus
144,334,26,460.4,2,5,3,253,can't loose,10,Gold
145,107,41,684.6099999999998,3,5,4,354,loyal customers,12,Platinum
146,167,22,391.83000000000004,3,5,3,353,loyal customers,11,Platinum
147,11,118,1683.160000000001,5,5,5,555,champions,15,Platinum Plus
148,464,19,323.4,1,5,3,153,can't loose,9,Gold
149,622,13,54.089999999999996,1,5,2,152,can't loose,8,Gold
150,83,57,6248.499999999997,3,5,5,355,loyal customers,13,Platinum
151,23,23,403.7,5,5,3,553,champions,13,Platinum
152,562,26,376.72,1,5,3,153,can't loose,9,Gold
153,25,154,5854.31,4,5,5,455,loyal customers,14,Platinum Plus
154,163,159,2065.879999999999,3,5,5,355,loyal customers,13,Platinum
155,189,144,3683.0700000000006,2,5,5,255,can't loose,12,Platinum
156,615,2,1126.0,1,3,4,134,at risk,8,Gold
157,20,26,411.0,5,5,3,553,champions,13,Platinum
158,394,46,912.4999999999999,2,5,4,254,can't loose,11,Platinum
159,234,23,73.50000000000001,2,5,2,252,can't loose,9,Gold
160,136,51,1797.31,3,5,5,355,loyal customers,13,Platinum
161,28,69,398.2699999999999,4,5,3,453,loyal customers,12,Platinum
162,286,6,127.0,2,5,2,252,can't loose,9,Gold
163,144,130,2683.8499999999985,3,5,5,355,loyal customers,13,Platinum
164,416,192,3035.169999999998,1,5,5,155,can't loose,11,Platinum
165,245,34,138.03000000000003,2,5,2,252,can't loose,9,Gold
166,86,36,586.79,3,5,4,354,loyal customers,12,Platinum
167,269,83,1577.3600000000008,2,5,5,255,can't loose,12,Platinum
168,355,16,383.69999999999993,2,5,3,253,can't loose,10,Gold
169,5,74,2648.6200000000003,5,5,5,555,champions,15,Platinum Plus
170,30,284,2437.850000000002,4,5,5,455,loyal customers,14,Platinum Plus
171,1,122,2001.4499999999987,5,5,5,555,champions,15,Platinum Plus
172,154,42,695.1899999999999,3,5,4,354,loyal customers,12,Platinum
173,38,155,2582.5099999999998,4,5,5,455,loyal customers,14,Platinum Plus
174,144,38,599.6800000000001,3,5,4,354,loyal customers,12,Platinum
175,41,11,175.38000000000002,4,5,2,452,loyal customers,11,Platinum
176,10,256,4110.639999999999,5,5,5,555,champions,15,Platinum Plus
177,11,240,11047.659999999982,5,5,5,555,champions,15,Platinum Plus
178,431,74,880.9300000000001,1,5,4,154,can't loose,10,Gold
179,55,70,1295.8600000000001,4,5,4,454,loyal customers,13,Platinum
180,83,32,735.51,3,5,4,354,loyal customers,12,Platinum
181,11,94,1899.03,5,5,5,555,champions,15,Platinum Plus
182,530,23,311.78,1,5,3,153,can't loose,9,Gold
183,31,158,3595.379999999998,4,5,5,455,loyal customers,14,Platinum Plus
184,16,132,1894.89,5,5,5,555,champions,15,Platinum Plus
185,91,16,349.83,3,5,3,353,loyal customers,11,Platinum
186,405,41,250.47,1,5,3,153,can't loose,9,Gold
187,337,62,1078.9799999999998,2,5,4,254,can't loose,11,Platinum
188,93,34,716.3499999999999,3,5,4,354,loyal customers,12,Platinum
189,31,268,4151.260000000002,4,5,5,455,loyal customers,14,Platinum Plus
190,410,43,732.9400000000005,1,5,4,154,can't loose,10,Gold
191,61,34,640.4499999999998,4,5,4,454,loyal customers,13,Platinum
192,24,296,6048.35,4,5,5,455,loyal customers,14,Platinum Plus
193,21,765,21601.870000000024,5,5,5,555,champions,15,Platinum Plus
194,61,51,946.5000000000003,4,5,4,454,loyal customers,13,Platinum
195,367,45,423.3799999999999,2,5,3,253,can't loose,10,Gold
196,450,43,980.25,1,5,4,154,can't loose,10,Gold
197,61,19,338.36000000000007,4,5,3,453,loyal customers,12,Platinum
198,77,50,1000.39,3,5,4,354,loyal customers,12,Platinum
199,48,70,1141.5000000000005,4,5,4,454,loyal customers,13,Platinum
200,199,21,383.58000000000004,2,5,3,253,can't loose,10,Gold
201,168,5,95.19999999999999,3,4,2,342,loyal customers,9,Gold
202,375,49,1575.6799999999996,2,5,5,255,can't loose,12,Platinum
203,81,57,964.8299999999995,3,5,4,354,loyal customers,12,Platinum
204,359,10,168.0,2,5,2,252,can't loose,9,Gold
205,41,20,437.82000000000005,4,5,3,453,loyal customers,12,Platinum
206,1,241,4427.540000000001,5,5,5,555,champions,15,Platinum Plus
207,450,26,468.4999999999999,1,5,3,153,can't loose,9,Gold
209,34,121,603.7099999999998,4,5,4,454,loyal customers,13,Platinum
210,18,55,16763.5,5,5,5,555,champions,15,Platinum Plus
211,121,22,0.0,3,5,1,351,loyal customers,9,Gold
212,312,22,536.2099999999999,2,5,3,253,can't loose,10,Gold
213,102,111,2101.389999999999,3,5,5,355,loyal customers,13,Platinum
214,70,16,238.85000000000002,3,5,3,353,loyal customers,11,Platinum
215,24,202,4603.740000000004,4,5,5,455,loyal customers,14,Platinum Plus
216,410,13,249.24000000000007,1,5,3,153,can't loose,9,Gold
217,263,21,456.8999999999999,2,5,3,253,can't loose,10,Gold
218,283,10,131.17,2,5,2,252,can't loose,9,Gold
219,74,20,346.7000000000001,3,5,3,353,loyal customers,11,Platinum
220,24,653,13304.839999999982,4,5,5,455,loyal customers,14,Platinum Plus
221,587,5,70.0,1,4,2,142,at risk,7,Silver
222,1,189,4044.5899999999997,5,5,5,555,champions,15,Platinum Plus
224,41,34,519.61,4,5,3,453,loyal customers,12,Platinum
225,49,60,970.0399999999994,4,5,4,454,loyal customers,13,Platinum
226,229,118,707.4599999999999,2,5,4,254,can't loose,11,Platinum
227,317,11,218.45,2,5,2,252,can't loose,9,Gold
228,489,38,622.82,1,5,4,154,can't loose,10,Gold
229,131,146,2073.6700000000005,3,5,5,355,loyal customers,13,Platinum
230,244,283,1367.2800000000007,2,5,4,254,can't loose,11,Platinum
231,23,181,4572.449999999998,5,5,5,555,champions,15,Platinum Plus
232,75,31,410.72,3,5,3,353,loyal customers,11,Platinum
233,160,57,1033.3999999999999,3,5,4,354,loyal customers,12,Platinum
234,41,15,197.71,4,5,2,452,loyal customers,11,Platinum
235,240,100,1919.2000000000005,2,5,5,255,can't loose,12,Platinum
236,1,446,13398.579999999993,5,5,5,555,champions,15,Platinum Plus
237,11,126,1893.95,5,5,5,555,champions,15,Platinum Plus
238,224,97,1982.8100000000002,2,5,5,255,can't loose,12,Platinum
239,19,75,1566.520000000001,5,5,5,555,champions,15,Platinum Plus
240,302,3,123.19999999999999,2,4,2,242,at risk,8,Gold
241,41,47,928.78,4,5,4,454,loyal customers,13,Platinum
242,30,210,3094.1700000000005,4,5,5,455,loyal customers,14,Platinum Plus
243,6,71,9764.680000000002,5,5,5,555,champions,15,Platinum Plus
244,319,69,1352.1500000000003,2,5,4,254,can't loose,11,Platinum
245,67,80,1867.64,3,5,5,355,loyal customers,13,Platinum
246,110,21,418.0999999999999,3,5,3,353,loyal customers,11,Platinum
247,48,198,4876.630000000008,4,5,5,455,loyal customers,14,Platinum Plus
248,506,19,299.02000000000004,1,5,3,153,can't loose,9,Gold
249,37,27,618.2699999999999,4,5,4,454,loyal customers,13,Platinum
250,21,211,3643.3200000000006,5,5,5,555,champions,15,Platinum Plus
251,11,206,4280.870000000003,5,5,5,555,champions,15,Platinum Plus
252,34,133,2296.719999999999,4,5,5,455,loyal customers,14,Platinum Plus
253,30,127,4520.250000000003,4,5,5,455,loyal customers,14,Platinum Plus
254,40,35,673.7599999999998,4,5,4,454,loyal customers,13,Platinum
255,1,12,153.12,5,5,2,552,champions,12,Platinum
256,23,2,739.2,5,3,4,534,potential loyalists,12,Platinum
257,81,16,254.17999999999995,3,5,3,353,loyal customers,11,Platinum
258,366,82,1217.9499999999998,2,5,4,254,can't loose,11,Platinum
260,1,200,0.0,5,5,1,551,champions,11,Platinum
261,406,16,415.79,1,5,3,153,can't loose,9,Gold
262,80,157,3056.6600000000003,3,5,5,355,loyal customers,13,Platinum
263,24,109,2013.4400000000007,4,5,5,455,loyal customers,14,Platinum Plus
264,54,65,1193.32,4,5,4,454,loyal customers,13,Platinum
265,59,21,643.5899999999999,4,5,4,454,loyal customers,13,Platinum
266,59,279,5076.130000000005,4,5,5,455,loyal customers,14,Platinum Plus
267,161,20,315.5999999999999,3,5,3,353,loyal customers,11,Platinum
268,73,273,5315.769999999995,3,5,5,355,loyal customers,13,Platinum
269,87,59,1045.349999999999,3,5,4,354,loyal customers,12,Platinum
270,61,40,316.68,4,5,3,453,loyal customers,12,Platinum
271,23,11,177.30999999999997,5,5,2,552,champions,12,Platinum
272,18,103,3354.9499999999985,5,5,5,555,champions,15,Platinum Plus
273,16,90,1309.5899999999997,5,5,4,554,champions,14,Platinum Plus
274,6,773,24123.35999999997,5,5,5,555,champions,15,Platinum Plus
275,234,11,180.10000000000002,2,5,2,252,can't loose,9,Gold
276,130,173,3574.4400000000005,3,5,5,355,loyal customers,13,Platinum
277,108,38,641.13,3,5,4,354,loyal customers,12,Platinum
278,6,188,5095.380000000002,5,5,5,555,champions,15,Platinum Plus
279,25,303,6292.669999999996,4,5,5,455,loyal customers,14,Platinum Plus
280,12,230,4478.530000000001,5,5,5,555,champions,15,Platinum Plus
281,20,43,769.6100000000001,5,5,4,554,champions,14,Platinum Plus
282,366,45,1558.2199999999996,2,5,5,255,can't loose,12,Platinum
283,11,63,1255.5800000000004,5,5,4,554,champions,14,Platinum Plus
284,59,185,3436.97,4,5,5,455,loyal customers,14,Platinum Plus
285,522,38,738.88,1,5,4,154,can't loose,10,Gold
286,1,311,5567.4299999999985,5,5,5,555,champions,15,Platinum Plus
287,461,20,490.0,1,5,3,153,can't loose,9,Gold
288,32,176,2884.510000000002,4,5,5,455,loyal customers,14,Platinum Plus
289,93,635,8246.81999999999,3,5,5,355,loyal customers,13,Platinum
290,183,46,881.2300000000001,2,5,4,254,can't loose,11,Platinum
291,240,63,1297.0700000000008,2,5,4,254,can't loose,11,Platinum
292,25,52,1159.28,4,5,4,454,loyal customers,13,Platinum
293,117,9,170.60000000000002,3,5,2,352,loyal customers,10,Gold
294,27,44,857.2000000000003,4,5,4,454,loyal customers,13,Platinum
295,40,56,7880.900000000001,4,5,5,455,loyal customers,14,Platinum Plus
296,306,123,1815.5400000000013,2,5,5,255,can't loose,12,Platinum
297,111,163,3499.100000000001,3,5,5,355,loyal customers,13,Platinum
298,51,44,1329.6299999999999,4,5,4,454,loyal customers,13,Platinum
299,24,573,17698.54000000002,4,5,5,455,loyal customers,14,Platinum Plus
300,126,66,1097.0,3,5,4,354,loyal customers,12,Platinum
301,36,123,2201.2599999999998,4,5,5,455,loyal customers,14,Platinum Plus
302,182,20,314.4400000000001,3,5,3,353,loyal customers,11,Platinum
303,101,30,352.54999999999995,3,5,3,353,loyal customers,11,Platinum
304,10,54,1011.5800000000003,5,5,4,554,champions,14,Platinum Plus
305,150,86,4160.830000000001,3,5,5,355,loyal customers,13,Platinum
306,12,37,589.5,5,5,4,554,champions,14,Platinum Plus
307,366,16,261.35,2,5,3,253,can't loose,10,Gold
308,3,252,6295.819999999997,5,5,5,555,champions,15,Platinum Plus
309,13,54,1094.71,5,5,4,554,champions,14,Platinum Plus
310,20,35,668.71,5,5,4,554,champions,14,Platinum Plus
311,61,5,91.68,4,4,2,442,loyal customers,10,Gold
312,13,13,245.10000000000002,5,5,3,553,champions,13,Platinum
313,438,11,161.99999999999997,1,5,2,152,can't loose,8,Gold
314,24,406,6852.53,4,5,5,455,loyal customers,14,Platinum Plus
315,465,11,204.0,1,5,2,152,can't loose,8,Gold
316,1,40,5457.0599999999995,5,5,5,555,champions,15,Platinum Plus
317,10,20,291.25,5,5,3,553,champions,13,Platinum
318,361,33,1020.98,2,5,4,254,can't loose,11,Platinum
319,1,33,620.1300000000001,5,5,4,554,champions,14,Platinum Plus
320,13,536,11232.510000000006,5,5,5,555,champions,15,Platinum Plus
321,4,100,1607.7299999999998,5,5,5,555,champions,15,Platinum Plus
322,12,113,3528.6300000000006,5,5,5,555,champions,15,Platinum Plus
323,372,43,2328.48,2,5,5,255,can't loose,12,Platinum
324,331,24,400.3,2,5,3,253,can't loose,10,Gold
325,243,74,1230.02,2,5,4,254,can't loose,11,Platinum
326,13,88,1777.95,5,5,5,555,champions,15,Platinum Plus
327,432,115,934.8000000000001,1,5,4,154,can't loose,10,Gold
328,26,106,2718.61,4,5,5,455,loyal customers,14,Platinum Plus
329,404,21,395.1,1,5,3,153,can't loose,9,Gold
330,44,374,30419.729999999967,4,5,5,455,loyal customers,14,Platinum Plus
331,1,56,1058.67,5,5,4,554,champions,14,Platinum Plus
332,32,53,880.81,4,5,4,454,loyal customers,13,Platinum
333,16,1414,27981.54000000005,5,5,5,555,champions,15,Platinum Plus
334,3,970,21081.92000000005,5,5,5,555,champions,15,Platinum Plus
335,6,499,11175.039999999986,5,5,5,555,champions,15,Platinum Plus
336,26,104,2253.630000000001,4,5,5,455,loyal customers,14,Platinum Plus
337,30,156,2850.6000000000004,4,5,5,455,loyal customers,14,Platinum Plus
338,639,14,178.28000000000003,1,5,2,152,can't loose,8,Gold
339,482,125,2128.7099999999996,1,5,5,155,can't loose,11,Platinum
340,115,171,4873.810000000003,3,5,5,355,loyal customers,13,Platinum
341,27,71,1204.6499999999994,4,5,4,454,loyal customers,13,Platinum
342,207,15,364.05,2,5,3,253,can't loose,10,Gold
343,1,37,1109.2,5,5,4,554,champions,14,Platinum Plus
344,373,13,110.95000000000002,2,5,2,252,can't loose,9,Gold
345,6,83,1640.4199999999998,5,5,5,555,champions,15,Platinum Plus
346,72,84,1839.4500000000007,3,5,5,355,loyal customers,13,Platinum
347,109,55,1287.42,3,5,4,354,loyal customers,12,Platinum
348,510,49,851.9100000000001,1,5,4,154,can't loose,10,Gold
349,23,43,939.02,5,5,4,554,champions,14,Platinum Plus
350,592,16,339.75,1,5,3,153,can't loose,9,Gold
351,419,39,605.1099999999999,1,5,4,154,can't loose,10,Gold
352,128,268,4771.869999999996,3,5,5,355,loyal customers,13,Platinum
353,37,147,2446.4099999999994,4,5,5,455,loyal customers,14,Platinum Plus
354,21,12,219.00000000000003,5,5,3,553,champions,13,Platinum
355,72,84,892.1799999999998,3,5,4,354,loyal customers,12,Platinum
356,24,86,1938.12,4,5,5,455,loyal customers,14,Platinum Plus
357,17,616,11334.139999999989,5,5,5,555,champions,15,Platinum Plus
359,293,32,535.4199999999998,2,5,3,253,can't loose,10,Gold
360,38,315,4828.539999999996,4,5,5,455,loyal customers,14,Platinum Plus
361,1,551,28031.070000000003,5,5,5,555,champions,15,Platinum Plus
362,203,79,1130.5700000000002,2,5,4,254,can't loose,11,Platinum
363,525,60,1339.0499999999997,1,5,4,154,can't loose,10,Gold
364,10,273,6645.859999999998,5,5,5,555,champions,15,Platinum Plus
365,90,38,848.5499999999998,3,5,4,354,loyal customers,12,Platinum
366,11,663,13280.68000000001,5,5,5,555,champions,15,Platinum Plus
367,108,20,333.06,3,5,3,353,loyal customers,11,Platinum
368,135,69,1053.4899999999998,3,5,4,354,loyal customers,12,Platinum
369,34,70,1238.5100000000004,4,5,4,454,loyal customers,13,Platinum
370,73,19,238.25,3,5,3,353,loyal customers,11,Platinum
371,31,42,608.0999999999999,4,5,4,454,loyal customers,13,Platinum
372,4,533,8047.879999999992,5,5,5,555,champions,15,Platinum Plus
373,81,250,3817.1000000000017,3,5,5,355,loyal customers,13,Platinum
374,4,57,904.33,5,5,4,554,champions,14,Platinum Plus
375,18,66,695.7700000000001,5,5,4,554,champions,14,Platinum Plus
376,40,126,2235.620000000001,4,5,5,455,loyal customers,14,Platinum Plus
377,416,129,2663.9599999999987,1,5,5,155,can't loose,11,Platinum
378,30,179,4014.599999999999,4,5,5,455,loyal customers,14,Platinum Plus
379,12,202,5560.519999999994,5,5,5,555,champions,15,Platinum Plus
380,40,59,1039.57,4,5,4,454,loyal customers,13,Platinum
381,115,26,453.01000000000005,3,5,3,353,loyal customers,11,Platinum
382,552,47,829.25,1,5,4,154,can't loose,10,Gold
383,25,394,25329.53000000005,4,5,5,455,loyal customers,14,Platinum Plus
384,181,12,236.26,3,5,3,353,loyal customers,11,Platinum
385,236,157,2240.12,2,5,5,255,can't loose,12,Platinum
386,354,18,622.6499999999999,2,5,4,254,can't loose,11,Platinum
387,193,41,735.8700000000001,2,5,4,254,can't loose,11,Platinum
388,40,4,234.0,4,4,3,443,loyal customers,11,Platinum
389,500,1,100.0,1,2,2,122,hibernating,5,Bronze
390,666,22,310.69999999999993,1,5,3,153,can't loose,9,Gold
391,80,88,2473.73,3,5,5,355,loyal customers,13,Platinum
392,154,26,412.30000000000007,3,5,3,353,loyal customers,11,Platinum
393,531,16,406.07000000000005,1,5,3,153,can't loose,9,Gold
394,601,68,1185.02,1,5,4,154,can't loose,10,Gold
395,136,133,544.33,3,5,3,353,loyal customers,11,Platinum
396,58,329,12979.959999999992,4,5,5,455,loyal customers,14,Platinum Plus
397,429,21,703.9499999999999,1,5,4,154,can't loose,10,Gold
398,529,18,242.74999999999997,1,5,3,153,can't loose,9,Gold
399,24,237,8141.240000000013,4,5,5,455,loyal customers,14,Platinum Plus
400,5,7103,46893.47000000037,5,5,5,555,champions,15,Platinum Plus
401,24,397,6288.690000000001,4,5,5,455,loyal customers,14,Platinum Plus
402,278,15,275.88,2,5,3,253,can't loose,10,Gold
403,446,61,267.62,1,5,3,153,can't loose,9,Gold
404,83,53,4366.779999999999,3,5,5,355,loyal customers,13,Platinum
405,24,226,20475.84,4,5,5,455,loyal customers,14,Platinum Plus
406,161,63,3010.7400000000016,3,5,5,355,loyal customers,13,Platinum
407,251,113,6632.65,2,5,5,255,can't loose,12,Platinum
408,88,4,112.08000000000001,3,4,2,342,loyal customers,9,Gold
409,5,364,4184.150000000006,5,5,5,555,champions,15,Platinum Plus
410,118,236,7273.92,3,5,5,355,loyal customers,13,Platinum
411,54,279,4495.48,4,5,5,455,loyal customers,14,Platinum Plus
412,428,21,347.79999999999995,1,5,3,153,can't loose,9,Gold
413,701,26,757.9499999999999,1,5,4,154,can't loose,10,Gold
414,27,66,1762.4400000000012,4,5,5,455,loyal customers,14,Platinum Plus
415,140,34,814.1600000000001,3,5,4,354,loyal customers,12,Platinum
416,318,44,1668.68,2,5,5,255,can't loose,12,Platinum
417,474,66,1379.08,1,5,4,154,can't loose,10,Gold
