v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,classLabel
a,22.58,0.001075,u,-3.928863662,0.873089659,0.415,t,t,5,t,g,0,560,0,NA,1,yes.
b,33.17,0.000304,y,0.487289089,1.045709508,2.04,t,t,1,t,g,180,18027,1800000,t,1,yes.
b,32,0.000175,y,-2.232287365,0.702105045,0.04,t,f,0,t,g,393,0,3930000,NA,1,yes.
a,40.83,0.001,u,4.971191869,0.847303812,1.75,t,f,0,f,g,29,837,290000,NA,1,yes.
b,59.67,0.000154,u,-0.254612081,0.664504222,0.125,t,f,0,t,g,260,0,2600000,f,1,yes.
b,42.5,0.0004915,y,2.438314341,0.750565612,3.165,t,f,0,t,g,52,1442,520000,NA,1,yes.
a,28.08,0.0015,y,4.774412746,1.017540255,0,t,f,0,f,g,0,13212,0,NA,1,yes.
a,37.75,0.00055,u,-0.424389103,0.655811237,0.125,t,f,0,t,g,228,0,2280000,f,1,yes.
b,53.92,0.0009625,u,0.812137537,0.717800804,8.665,t,t,5,f,g,0,0,0,NA,1,yes.
b,47.67,2.90E-05,u,-3.095014703,0.808324969,15,t,t,20,f,g,0,15000,0,t,1,yes.
b,23.25,1.00E-04,u,-3.628209261,0.657997166,0.835,t,f,0,f,s,300,0,3.00E+06,f,1,yes.
b,22.67,0.000254,y,-3.979516462,0.884835416,2.585,t,f,0,f,g,0,0,0,f,1,yes.
b,54.58,0.0009415,u,2.229236837,0.808764625,14.415,t,t,11,t,g,30,300,3.00E+05,NA,1,yes.
b,34.25,3.00E-04,u,-0.018394419,0.831741716,7.415,t,f,0,t,g,0,0,0,NA,1,yes.
b,27.58,0.000204,y,-4.547490506,0.603900595,2,t,t,3,t,g,370,560,3700000,NA,1,yes.
a,46,4.00E-04,u,-4.133053098,0.950406866,0,t,f,0,f,g,100,960,1.00E+06,NA,1,yes.
a,60.92,5.00E-04,u,-4.288748037,0.665519269,4,t,t,4,f,g,0,99,0,t,1,yes.
a,47.42,3.00E-04,u,-3.072094149,0.78302225,13.875,t,t,2,t,g,519,1704,5190000,NA,1,yes.
b,37.33,0.00065,u,4.346270279,0.766862689,4.25,t,t,12,t,g,93,0,930000,NA,1,yes.
a,33.25,0.00025,y,-1.121185136,0.410017879,2.5,f,f,0,t,g,0,2,0,f,0,no.
a,24.58,6.70E-05,u,4.999273997,0.677766141,1.75,t,f,0,f,g,400,0,4.00E+06,NA,0,no.
b,21.83,0.000154,u,-4.744489191,0.58305883,0.085,f,f,0,t,g,356,0,3560000,NA,0,no.
b,15.17,7.00E-04,u,4.674452676,0.623934958,1,f,f,0,f,g,600,0,6.00E+06,NA,0,no.
b,22.92,0.0003165,y,2.029034691,0.386754789,0.165,f,f,0,f,g,160,1058,1600000,NA,0,no.
a,69.5,6.00E-04,u,2.292484038,0.589916026,0,f,f,0,f,s,0,0,0,f,0,no.
b,33,0.00025,y,-0.552262131,0.502389502,7,f,f,0,t,g,280,0,2800000,NA,0,no.
a,23,0.0001835,u,-0.959758654,0.547448483,0,f,t,1,f,g,200,53,2.00E+06,NA,0,no.
b,22,7.90E-05,u,-0.986709583,0.458128936,0.29,f,t,1,f,g,420,283,4200000,NA,0,no.
b,24.75,5.40E-05,u,4.825881426,0.510925822,1,f,f,0,t,g,120,1,1200000,NA,0,no.
b,20.75,0.0005085,y,-4.910995797,0.527099484,0.29,f,f,0,f,g,140,184,1400000,NA,0,no.
b,23,7.50E-05,u,0.047211677,0.721786847,0.5,t,f,0,t,s,320,0,3200000,NA,0,no.
b,20.67,8.35E-05,y,-1.734944275,0.553523283,2,f,f,0,t,s,240,0,2400000,f,0,no.
b,48.75,0.0026335,y,-4.872621468,0.585960242,0,t,f,0,t,g,0,0,0,f,0,no.
b,51.83,3.00E-04,y,0.960601547,0.718760606,1.5,f,f,0,f,g,180,4,1800000,f,0,no.
b,22.75,0.00115,u,-1.332106665,0.490932375,0.415,f,f,0,f,g,0,0,0,NA,0,no.
a,17.92,0.001021,u,-3.984667587,0.41718651,0,f,f,0,f,g,0,50,0,NA,0,no.
NA,42.25,0.000175,y,-1.271659432,0.742181775,0,f,f,0,t,g,150,1,1500000,f,0,no.
a,27.67,0.000204,u,-2.055282281,0.698756892,0.25,f,f,0,t,g,180,50,1800000,f,0,no.
b,28.75,0.00015,y,1.360799763,0.628581884,1.5,t,f,0,t,g,0,225,0,f,0,no.
b,37.75,7.00E-04,u,-1.075366766,0.704262986,11.5,t,t,7,t,g,300,5,3.00E+06,t,0,no.
b,28.75,0.0001165,u,-0.766941069,0.693104091,0.5,t,f,0,f,s,280,0,2800000,NA,0,no.
b,23.5,0.000275,u,2.257147843,0.754597172,4.5,f,f,0,f,g,160,25,1600000,f,0,no.
a,29.5,0.0001085,y,3.628443109,0.739823838,1,f,f,0,f,g,280,13,2800000,NA,0,no.
a,31.92,0.0003125,u,-3.685501977,0.563297245,3.04,f,t,2,t,g,200,4,2.00E+06,NA,0,no.
b,18.83,4.15E-05,y,1.117624824,0.683498589,0.165,f,t,1,f,g,200,1,2.00E+06,t,0,no.
b,26.75,0.00045,y,1.862394263,0.538240551,2.5,f,f,0,f,g,200,1210,2.00E+06,f,0,no.
a,27.17,0.000125,u,4.176076553,0.470119628,0,f,t,1,f,g,92,300,920000,t,0,no.
b,47.17,0.0005835,u,-0.41773235,0.716433551,5.5,f,f,0,f,g,465,150,4650000,f,0,no.
b,23.75,4.15E-05,y,0.208986131,0.681890302,0.04,f,t,2,f,g,128,6,1280000,NA,0,no.
b,41.58,0.000175,u,-4.813339382,0.674089199,0.21,t,f,0,f,g,160,0,1600000,NA,0,no.
b,26.33,0.0013,u,4.887960611,0.507806636,0,f,f,0,t,g,140,1110,1400000,f,0,no.
b,39.42,0.000171,y,4.568538077,0.773524932,0.165,f,f,0,f,s,400,0,4.00E+06,NA,0,no.
b,35.25,0.0003165,u,-2.679468007,0.626803783,3.75,t,f,0,t,g,680,0,6800000,f,0,no.
b,18.83,0.000354,y,-3.601630586,0.534808021,0,f,f,0,t,g,180,1,1800000,f,0,no.
b,44.83,7.00E-04,y,-4.863327823,0.631483354,1.625,f,f,0,f,g,160,2,1600000,NA,0,no.
b,50.75,5.85E-05,u,-2.262226096,0.622372232,0,f,f,0,f,g,145,0,1450000,f,0,no.
b,19.17,4.00E-04,y,3.219034756,0.56459888,1,f,f,0,t,g,360,1000,3600000,f,0,no.
b,21.5,0.00115,u,0.948012318,0.591532826,0.5,t,f,0,t,g,100,68,1.00E+06,f,0,no.
a,25.58,0,NA,-1.919001888,0.745711358,0,f,f,0,f,p,NA,0,NA,NA,1,yes.
a,20.42,8.35E-05,u,1.733339957,0.652881118,1.585,t,t,1,f,g,0,0,0,t,1,yes.
a,44.17,0.0006665,u,0.015809254,0.860938144,7.375,t,t,3,t,g,0,0,0,t,1,yes.
b,34.75,0.0015,u,-3.982823174,0.792312515,5.375,t,t,9,t,g,0,134,0,NA,1,yes.
b,20.5,0.001,y,2.412219238,0.927225551,2.5,t,f,0,f,s,40,0,4.00E+05,NA,1,yes.
b,22.67,1.65E-05,u,3.892247912,0.5480859,2.25,f,f,0,t,s,0,0,0,NA,1,yes.
b,22.08,8.30E-05,u,-0.520631536,1.02899725,2.165,f,f,0,t,g,128,0,1280000,NA,1,yes.
b,42.83,0.0004625,u,2.613121718,0.900280467,4.58,t,f,0,f,s,0,0,0,NA,1,yes.
a,18.92,0.000925,y,-4.497731407,0.820297741,1,t,t,4,t,g,80,500,8.00E+05,t,1,yes.
a,20.67,3.00E-04,u,-2.485467221,0.903422494,0.165,t,t,3,f,g,100,6,1.00E+06,NA,1,yes.
a,32.33,5.40E-05,u,1.560462776,0.583045849,0.04,t,f,0,f,g,440,11177,4400000,f,1,yes.
b,28.92,0.0015,u,-3.65679095,0.759396646,5.335,t,t,11,f,g,0,2283,0,NA,1,yes.
a,52.83,0.0015,u,3.124404624,0.985198274,5.5,t,t,14,f,g,0,2200,0,NA,1,yes.
a,20.67,0.0001835,u,2.327093205,0.96118325,2.085,t,t,5,f,g,220,2503,2200000,NA,1,yes.
b,36.25,5.00E-04,u,3.47048074,0.878211315,2.5,t,t,6,f,g,0,367,0,NA,1,yes.
a,20.33,0.001,u,-0.63577042,0.640063144,1,t,t,4,f,g,50,1465,5.00E+05,NA,1,yes.
b,25.75,7.50E-05,u,0.248352981,0.866877662,0.25,t,f,0,f,g,349,23,3490000,f,1,yes.
a,28.17,3.75E-05,u,-1.352511679,0.860260372,0.585,t,t,4,f,g,80,0,8.00E+05,t,1,yes.
b,23.92,6.65E-05,u,-0.674221215,0.63412212,0.165,f,f,0,f,g,100,0,1.00E+06,NA,1,yes.
b,56,0.00125,u,-0.84436611,0.985892364,8,t,f,0,t,g,24,2028,240000,NA,1,yes.
a,20.75,0.001025,u,2.351237226,0.577640642,0.71,t,t,2,t,g,49,0,490000,t,1,yes.
a,30.5,0.00065,u,-1.043219839,0.760602924,4,t,t,7,t,g,0,3065,0,t,1,yes.
a,45.83,0.00105,u,-1.493406515,0.638554316,5,t,t,7,t,g,0,0,0,t,1,yes.
b,39,5.00E-04,u,-3.257348184,0.732865403,3.5,t,t,10,t,g,0,0,0,t,1,yes.
b,22.08,0.0011,u,-2.670494081,1.175693691,0.665,t,f,0,f,g,100,0,1.00E+06,NA,1,yes.
b,28.25,0.0005125,u,-3.065298093,0.629632589,4.75,t,t,2,f,g,420,7,4200000,NA,1,yes.
a,18.83,0.0004415,y,1.661125061,0.797615353,3,t,f,0,f,g,240,0,2400000,f,1,yes.
a,28.67,0.000104,u,-0.434639587,0.76235244,2.5,t,t,5,t,g,300,1430,3.00E+06,NA,1,yes.
a,22.5,0.000846,y,-2.741038997,0.820625278,2.46,f,f,0,f,g,164,0,1640000,f,1,yes.
b,NA,0.00105,u,-4.546400816,0.807274001,6.5,t,f,0,f,g,0,0,0,f,1,yes.
b,36.08,0.000254,u,0.078693151,0.550761249,0,f,f,0,f,g,0,1000,0,NA,0,no.
NA,40.83,0.00035,u,-1.65014778,0.691492621,0.5,f,f,0,f,s,1160,0,11600000,f,0,no.
b,20,0.000125,y,2.404233415,0.38489268,0.125,f,f,0,f,g,140,4,1400000,NA,0,no.
b,43.25,0.002521,u,-3.598960931,0.507375871,0.21,t,t,1,f,g,760,90,7600000,NA,0,no.
b,52.33,0.0001375,y,0.227131867,0.698088938,9.46,t,f,0,t,g,200,100,2.00E+06,NA,0,no.
b,19.33,0.0010915,u,1.960291939,0.639020013,0.585,f,t,2,t,g,200,7,2.00E+06,NA,0,no.
b,23.58,4.60E-05,y,-2.594836454,0.612240155,2.625,t,t,6,t,g,208,347,2080000,t,0,no.
b,69.17,9.00E-04,u,-1.245245303,0.664994986,4,f,t,1,f,g,70,6,7.00E+05,NA,0,no.
a,24.92,0.000125,u,-0.714996175,0.637009306,0,t,f,0,f,g,80,0,8.00E+05,f,0,no.
a,23.58,5.85E-05,y,-4.379242382,0.731048375,0.125,f,f,0,f,g,120,87,1200000,f,0,no.
b,20,0,u,0.735633972,0.292002745,0.5,f,f,0,f,g,144,0,1440000,NA,0,no.
a,32,6.00E-04,u,-1.82185242,0.606209591,1.25,f,f,0,f,g,272,0,2720000,NA,0,no.
b,27.83,1.00E-04,y,-2.276145776,0.556183508,3,f,f,0,f,g,176,537,1760000,NA,0,no.
b,29.83,0.000125,y,0.34986495,0.576838167,0.25,f,f,0,f,g,224,0,2240000,f,0,no.
b,25.67,2.90E-05,y,1.186163016,0.519719131,1.5,f,f,0,t,g,160,0,1600000,f,0,no.
b,31.25,0.0002835,u,-1.552908595,0.492466616,0,f,t,5,f,g,176,146,1760000,NA,0,no.
b,23.08,0.00025,u,-4.314820485,0.67611554,0.085,f,f,0,t,g,100,4208,1.00E+06,NA,0,no.
b,31,0.0002085,u,0.008091431,0.820051036,0.085,f,f,0,f,g,300,0,3.00E+06,NA,0,no.
b,22.17,5.85E-05,y,-4.36297297,0.80439487,0,f,f,0,f,g,100,0,1.00E+06,NA,0,no.
b,NA,4.00E-04,y,1.521221043,0.355806525,0.085,f,f,0,t,g,411,0,4110000,f,0,no.
b,45.17,0.00015,u,4.112766194,0.603563684,2.5,t,f,0,t,g,140,0,1400000,NA,0,no.
b,24.58,0.00135,y,-0.762009087,0.674944344,0,f,f,0,f,g,NA,0,NA,f,0,no.
b,33.67,0.000125,u,2.118574069,0.564852028,1.165,f,f,0,f,g,120,0,1200000,NA,0,no.
b,40.58,0.00015,u,0.048911804,0.585268833,0,f,f,0,f,s,300,0,3.00E+06,NA,0,no.
b,16.33,0.0004085,u,2.462051099,0.55843646,0.415,f,f,0,t,g,120,0,1200000,NA,0,no.
b,35.75,0.0002415,u,1.980575551,0.662081098,0.125,f,t,2,f,g,220,1,2200000,t,0,no.
a,NA,0.00015,u,1.721280254,0.662830251,0,f,t,2,t,g,200,105,2.00E+06,NA,0,no.
b,49.58,0.0019,u,-3.119751068,0.95227541,0,t,t,1,f,g,94,0,940000,NA,0,no.
a,30.25,0.00055,u,1.847664211,0.592518911,5.5,f,f,0,t,s,100,0,1.00E+06,NA,0,no.
b,34.67,0.000108,u,0.068162433,0.666913582,1.165,f,f,0,f,s,28,0,280000,f,0,no.
a,50.25,8.35E-05,u,-2.704461992,0.527300929,0.5,f,f,0,t,g,240,117,2400000,f,0,no.
b,NA,3.00E-04,y,-4.887791763,0.497157299,7,f,f,0,f,g,0,1,0,f,0,no.
a,57.58,2.00E-04,u,-1.978551708,0.684672196,6.5,f,t,1,f,g,0,10,0,t,0,no.
a,24.83,0.00045,u,2.963452877,0.886093272,1,f,f,0,t,g,360,6,3600000,f,0,no.
b,22.25,9.00E-04,u,3.700311056,0.571876134,0.085,f,f,0,f,g,0,0,0,f,0,no.
b,21.08,0.0010085,y,-0.549871197,0.521520254,1.25,f,f,0,f,g,260,0,2600000,NA,0,no.
a,52.17,0,y,4.116491233,0.642891704,0,f,f,0,f,g,0,0,0,NA,0,no.
a,23.58,0.00115,y,-4.715082224,0.51493047,3,f,f,0,t,g,20,16,2.00E+05,f,0,no.
b,21.5,0.000975,u,3.518527914,0.805932262,0.25,t,f,0,f,g,140,0,1400000,NA,0,no.
a,28.5,0.000304,y,-2.863677992,0.950784843,2.54,t,t,1,f,g,70,0,7.00E+05,NA,1,yes.
b,19.17,0.00095,u,4.340060272,0.817617789,1.5,t,f,0,f,g,120,2206,1200000,NA,1,yes.
a,21.5,6.00E-04,u,-4.519929406,0.704069139,2.5,t,t,3,f,g,80,918,8.00E+05,t,1,yes.
b,17.5,0.0022,l,-0.356564866,0.952797859,0,f,f,0,t,p,450,100000,4500000,f,1,yes.
b,26.67,0.000271,y,2.400044969,0.57279717,5.25,t,t,1,f,g,211,0,2110000,NA,1,yes.
b,34.42,0.000425,u,-4.50216064,1.032801632,3.25,t,t,2,f,g,274,610,2740000,t,1,yes.
b,73.42,0.001775,u,-3.912378361,0.865369159,0,t,f,0,t,g,0,0,0,f,1,yes.
a,23,0.001175,u,1.48643669,0.762544027,0.5,t,t,2,t,g,300,551,3.00E+06,NA,1,yes.
b,23.08,0.00025,u,-0.289582093,0.651418039,1.085,t,t,11,t,g,60,2184,6.00E+05,NA,1,yes.
b,19.42,0.00065,u,0.642959015,0.924899587,1.46,t,t,7,f,g,80,2954,8.00E+05,t,1,yes.
b,23.33,0.0011625,y,0.563349724,0.947736043,0.835,t,f,0,t,g,160,300,1600000,NA,1,yes.
b,42.17,0.000504,u,-2.814128341,0.894559419,12.75,t,f,0,t,g,92,0,920000,NA,1,yes.
b,21.25,0.00015,u,0.494274462,0.490605882,1.5,f,f,0,f,g,150,8,1500000,NA,1,yes.
b,34.17,0.000525,u,-2.606538653,0.895183671,0.085,f,f,0,t,g,290,6,2900000,NA,1,yes.
a,47.75,8.00E-04,u,-1.597701651,0.848928566,7.875,t,t,6,t,g,0,1260,0,t,1,yes.
a,44.33,0,u,-1.960341155,0.829106666,2.5,t,f,0,f,g,0,0,0,NA,1,yes.
b,39.5,0.000425,u,2.836663583,0.791887613,6.5,t,t,16,f,g,117,1210,1170000,t,1,yes.
a,41.17,0.00065,u,4.886774502,0.788247071,0.5,t,t,3,t,g,145,0,1450000,NA,1,yes.
b,29.92,0.0001835,u,-1.14659789,0.605722574,4.335,t,f,0,f,g,260,200,2600000,f,1,yes.
b,23.17,0,NA,1.737592386,0.810021215,0,f,f,0,f,p,NA,0,NA,f,1,yes.
b,35.17,0.00025,u,2.691311562,1.020929883,4.5,t,t,7,f,g,150,1270,1500000,t,1,yes.
a,19.17,0.0008585,u,2.167932286,0.808790308,0.75,t,t,7,f,g,96,0,960000,NA,1,yes.
b,52.5,0.00065,u,-1.901511166,0.988048532,6.29,t,t,15,f,g,0,11202,0,t,1,yes.
b,39.92,0.000621,u,0.337091994,0.613291622,0.04,t,t,1,f,g,200,300,2.00E+06,t,1,yes.
b,21.33,0.00105,u,4.510657066,0.691293407,3,t,f,0,t,g,0,0,0,NA,1,yes.
a,35.75,9.15E-05,u,2.771702793,0.889783401,0.75,t,t,4,f,g,0,1583,0,t,1,yes.
b,67.75,0.00055,u,3.589245293,0.796735877,13,t,t,1,t,g,0,0,0,t,1,yes.
b,32.67,9.00E-04,y,3.889321818,0.874970891,5.25,t,f,0,t,g,154,0,1540000,f,1,yes.
b,49.5,0.0007585,u,1.586922419,0.955268881,7.585,t,t,15,t,g,0,5000,0,t,1,yes.
b,21,3.00E-04,y,4.614254842,0.875220329,1.085,t,t,8,t,g,160,1,1600000,t,1,yes.
a,52.5,7.00E-04,u,-4.489835168,0.696867039,3,f,f,0,f,g,0,0,0,f,0,no.
a,33.25,3.00E-04,y,1.90129014,0.617225085,2,f,f,0,f,g,180,0,1800000,NA,0,no.
b,18.33,0.000121,y,-2.859082057,0.487260289,0,f,f,0,f,g,100,0,1.00E+06,f,0,no.
b,29.5,5.80E-05,u,-0.718375698,0.787137867,0.29,f,t,1,f,g,340,2803,3400000,t,0,no.
b,22.17,0.000225,u,0.396582722,0.740080918,0.125,f,f,0,f,g,160,10,1600000,NA,0,no.
b,22.92,1.70E-05,u,1.685534632,0.620202911,0.085,f,f,0,f,s,0,0,0,f,0,no.
b,19.42,0.000725,u,-3.181545988,0.795274609,0.04,f,t,1,f,g,100,1,1.00E+06,NA,0,no.
b,26.17,0.00125,y,-1.761678411,0.564525129,1.25,f,f,0,t,g,0,17,0,NA,0,no.
b,27.58,0.000325,y,-3.486923967,0.571394324,5.085,f,t,2,t,g,369,1,3690000,t,0,no.
b,16,0.0003125,u,2.650496059,0.689371054,0.085,f,t,1,f,g,0,6,0,NA,0,no.
a,28.58,0.000375,u,2.292111749,0.512325262,0.25,f,t,1,t,g,40,154,4.00E+05,NA,0,no.
a,38.75,0.00015,u,0.285492395,0.569167477,0,f,f,0,f,g,76,0,760000,NA,0,no.
b,32.08,4.00E-04,y,4.078273578,0.670481621,1.5,f,f,0,t,g,120,0,1200000,f,0,no.
b,18.25,1.65E-05,u,-2.842555894,0.555063348,0.25,f,f,0,t,s,280,0,2800000,NA,0,no.
a,21.75,0.000175,y,0.281723926,0.42107937,0,f,f,0,f,g,160,0,1600000,NA,0,no.
b,18.58,0.000571,u,-0.359623439,0.575938503,0.54,f,f,0,f,g,120,0,1200000,f,0,no.
b,23,7.50E-05,u,-1.035952608,0.786358777,0.5,f,f,0,t,s,320,0,3200000,f,0,no.
a,22.67,7.50E-05,u,-3.88187615,0.48037872,2,f,t,2,t,g,200,394,2.00E+06,NA,0,no.
NA,33.17,0.000225,y,3.288993728,0.604634154,3.5,f,f,0,t,g,200,141,2.00E+06,f,0,no.
b,23,6.25E-05,y,3.793711537,0.618840587,0.125,t,f,0,f,g,180,1,1800000,NA,0,no.
b,22.25,4.60E-05,u,-0.052123535,0.375322153,0.125,f,f,0,t,g,280,55,2800000,NA,0,no.
NA,28.17,5.85E-05,u,-2.827617878,0.735641685,0.04,f,f,0,f,g,260,1004,2600000,f,0,no.
a,53.33,1.65E-05,u,-3.178304941,0.48041201,0,f,f,0,t,s,62,27,620000,f,0,no.
a,24.5,0.0002415,y,1.12850287,0.585892276,0,f,f,0,f,g,120,0,1200000,f,0,no.
b,25.92,8.75E-05,u,4.246589888,0.585874682,0.375,f,t,2,t,g,174,3,1740000,t,0,no.
b,16.33,0.000275,u,-1.588354658,0.5408024,0.665,f,t,1,f,g,80,21,8.00E+05,t,0,no.
b,34,0.00045,u,-0.351864097,0.476649523,1,t,f,0,t,g,240,0,2400000,NA,0,no.
b,49.17,0.000229,u,-2.747896449,0.611103554,0.29,f,f,0,f,g,200,3,2.00E+06,NA,0,no.
a,23.5,0.00015,u,3.752636062,0.550884247,0.875,f,f,0,t,g,160,0,1600000,f,0,no.
a,19.58,6.65E-05,u,4.847551235,0.537057993,1.665,f,f,0,f,g,220,5,2200000,NA,0,no.
b,21.17,0,u,-4.557343922,0.676465661,0.5,f,f,0,t,s,0,0,0,f,0,no.
a,38.33,0.0004415,u,-1.378454515,0.570856145,0.125,f,f,0,f,g,160,0,1600000,f,0,no.
b,37.5,8.35E-05,u,-1.358465916,0.636032637,0.04,f,f,0,f,g,120,5,1200000,NA,0,no.
a,21.08,5.00E-04,y,0.064462593,0.604959763,0,f,f,0,f,g,0,0,0,NA,0,no.
b,28,3.00E-04,u,1.809113349,0.778942001,0.75,f,f,0,t,g,300,67,3.00E+06,NA,0,no.
b,25.17,3.00E-04,u,2.023047602,0.539579663,1.25,f,t,1,f,g,0,22,0,NA,0,no.
b,32.92,0.00025,u,4.87498601,0.45245152,1.75,f,t,2,t,g,720,0,7200000,t,0,no.
a,22.75,0.0006165,u,-3.843391174,0.506668824,0.165,f,f,0,f,g,220,1000,2200000,NA,0,no.
b,28.25,8.75E-05,u,4.573216517,0.780002825,0.96,t,t,3,t,g,396,0,3960000,t,1,yes.
b,34.17,0.000154,u,2.701786896,0.7620893,1.54,t,t,1,t,g,520,50000,5200000,NA,1,yes.
b,31.92,0.000446,u,3.902704415,0.901250944,6.04,t,t,3,f,g,311,300,3110000,NA,1,yes.
